VC:904M BD:May 23 2013 SN:LGR-13-0147
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,            MIU
  08/06/2019 15:57:09.014,    1.42786e+00,    0.00000e+00,    2.06915e+04,    0.00000e+00,    4.45627e+02,    0.00000e+00,    1.45802e+00,    0.00000e+00,    4.55042e+02,    0.00000e+00,    1.40332e+02,    0.00000e+00,    3.85034e+01,    0.00000e+00,    3.98883e+01,    0.00000e+00,    5.35419e+00,    0.00000e+00,    4.91450e+00,    0.00000e+00,              3,       Disabled
  08/06/2019 15:57:11.060,    1.43015e+00,    4.52500e-04,    2.08854e+04,    2.02098e+02,    4.46013e+02,    1.33609e+00,    1.46066e+00,    1.60658e-04,    4.55526e+02,    1.45862e+00,    1.40370e+02,    4.74109e-02,    3.85055e+01,    8.88245e-04,    3.98924e+01,    1.27283e-04,    5.32339e+00,    4.22961e-03,    4.91184e+00,    3.72553e-03,              3,       Disabled
  08/06/2019 15:57:13.989,    1.42355e+00,    1.57918e-03,    2.08339e+04,    2.80487e+01,    4.48407e+02,    8.44257e-01,    1.45384e+00,    1.57114e-03,    4.57948e+02,    8.49102e-01,    1.40297e+02,    3.42704e-03,    3.85101e+01,    3.41098e-03,    3.99014e+01,    7.52125e-03,    5.34017e+00,    4.71315e-03,    4.90574e+00,    6.32046e-03,              3,       Disabled
  08/06/2019 15:57:15.779,    1.42547e+00,    4.35538e-04,    2.09156e+04,    1.75001e+02,    4.45347e+02,    6.94131e-01,    1.45592e+00,    7.05073e-04,    4.54861e+02,    6.27658e-01,    1.40372e+02,    5.91505e-02,    3.85139e+01,    9.65310e-04,    3.99023e+01,    1.92752e-04,    5.33651e+00,    1.64792e-02,    4.90354e+00,    8.57006e-04,              3,       Disabled
  08/06/2019 15:57:17.578,    1.42376e+00,    4.18879e-03,    2.08748e+04,    3.05270e+02,    4.44901e+02,    1.80973e-01,    1.45412e+00,    4.73146e-03,    4.54387e+02,    4.31638e-02,    1.40373e+02,    6.25373e-02,    3.85168e+01,    8.88719e-04,    3.99079e+01,    1.75612e-04,    5.34538e+00,    8.04077e-03,    4.90820e+00,    1.77492e-03,              3,       Disabled
  08/06/2019 15:57:19.380,    1.42416e+00,    2.93122e-03,    2.05475e+04,    9.05690e-01,    4.42567e+02,    4.03200e-01,    1.45403e+00,    2.99137e-03,    4.51851e+02,    4.12077e-01,    1.40333e+02,    1.42367e-02,    3.85194e+01,    1.11490e-03,    3.99130e+01,    2.98962e-03,    5.35459e+00,    2.77130e-03,    4.92007e+00,    3.03537e-05,              3,       Disabled
  08/06/2019 15:57:21.242,    1.42271e+00,    2.29029e-03,    2.06072e+04,    1.77346e+01,    4.40451e+02,    1.52419e+00,    1.45265e+00,    2.36478e-03,    4.49719e+02,    1.54812e+00,    1.40344e+02,    6.67351e-02,    3.85221e+01,    7.39711e-04,    3.99185e+01,    1.50689e-03,    5.34983e+00,    2.41286e-03,    4.91337e+00,    2.67489e-03,              3,       Disabled
  08/06/2019 15:57:23.293,    1.42562e+00,    2.50210e-03,    2.05295e+04,    1.68257e+02,    4.36402e+02,    1.30112e+00,    1.45550e+00,    2.80458e-03,    4.45549e+02,    1.40493e+00,    1.40373e+02,    1.36137e-02,    3.85241e+01,    7.31065e-04,    3.99209e+01,    1.10509e-03,    5.34616e+00,    3.76692e-03,    4.91781e+00,    9.27943e-04,              3,       Disabled
  08/06/2019 15:57:25.345,    1.42645e+00,    4.25803e-04,    2.04393e+04,    3.95737e+01,    4.35400e+02,    3.35373e-01,    1.45621e+00,    4.93518e-04,    4.44485e+02,    3.24413e-01,    1.40357e+02,    8.63436e-02,    3.85260e+01,    4.39302e-04,    3.99271e+01,    1.10425e-04,    5.34776e+00,    7.43333e-03,    4.92014e+00,    2.39414e-03,              3,       Disabled
  08/06/2019 15:57:27.397,    1.42291e+00,    1.83225e-04,    2.03136e+04,    2.04003e+01,    4.34110e+02,    2.42925e+00,    1.45241e+00,    1.56780e-04,    4.43111e+02,    2.47039e+00,    1.40325e+02,    5.62473e-02,    3.85277e+01,    7.50226e-04,    3.99301e+01,    2.38017e-03,    5.35944e+00,    5.96608e-03,    4.92137e+00,    8.91481e-03,              3,       Disabled
  08/06/2019 15:57:30.177,    1.42402e+00,    2.07904e-03,    2.04949e+04,    2.40405e+01,    4.33566e+02,    2.19826e-02,    1.45382e+00,    2.15822e-03,    4.42638e+02,    3.33065e-02,    1.40367e+02,    4.08235e-02,    3.85314e+01,    1.24771e-04,    3.99389e+01,    3.52263e-03,    5.35796e+00,    9.09943e-03,    4.92438e+00,    9.47258e-04,              3,       Disabled
  08/06/2019 15:57:31.978,    1.42690e+00,    5.26741e-03,    2.04298e+04,    2.02342e+02,    4.34600e+02,    4.03501e+00,    1.45666e+00,    5.67816e-03,    4.43663e+02,    4.02752e+00,    1.40339e+02,    3.58285e-02,    3.85331e+01,    7.68250e-04,    3.99390e+01,    1.21608e-03,    5.34842e+00,    9.89146e-03,    4.91849e+00,    1.42445e-03,              3,       Disabled
  08/06/2019 15:57:33.778,    1.42275e+00,    4.61984e-03,    2.04166e+04,    3.33638e+00,    4.37909e+02,    1.47141e+00,    1.45241e+00,    4.72108e-03,    4.47036e+02,    1.50056e+00,    1.40360e+02,    4.49535e-02,    3.85345e+01,    4.86020e-04,    3.99393e+01,    6.76878e-04,    5.35901e+00,    8.92453e-04,    4.91593e+00,    2.13372e-03,              3,       Disabled
  08/06/2019 15:57:35.582,    1.42293e+00,    3.10694e-03,    2.03530e+04,    3.68051e+02,    4.36980e+02,    7.72890e-02,    1.45249e+00,    2.62579e-03,    4.46059e+02,    8.86888e-02,    1.40378e+02,    2.26395e-03,    3.85359e+01,    6.10503e-04,    3.99405e+01,    1.46250e-03,    5.35891e+00,    5.93123e-03,    4.92113e+00,    1.46037e-02,              3,       Disabled
  08/06/2019 15:57:37.590,    1.42067e+00,    3.87077e-03,    2.02676e+04,    9.11469e+01,    4.40203e+02,    1.99578e-01,    1.45006e+00,    4.08575e-03,    4.49309e+02,    2.45507e-01,    1.40358e+02,    9.58265e-02,    3.85374e+01,    4.65652e-04,    3.99414e+01,    1.20737e-03,    5.36634e+00,    4.79429e-03,    4.93006e+00,    8.65400e-03,              3,       Disabled
  08/06/2019 15:57:39.642,    1.41704e+00,    3.70286e-03,    2.02104e+04,    1.48735e+02,    4.36345e+02,    1.60327e+00,    1.44627e+00,    3.99879e-03,    4.45346e+02,    1.56874e+00,    1.40333e+02,    4.33987e-02,    3.85391e+01,    7.40764e-04,    3.99409e+01,    1.26412e-03,    5.36913e+00,    1.30093e-02,    4.94060e+00,    6.09980e-03,              3,       Disabled
  08/06/2019 15:57:41.694,    1.41611e+00,    1.72382e-03,    2.01142e+04,    4.56364e+01,    4.37652e+02,    1.18114e-01,    1.44518e+00,    1.82651e-03,    4.46636e+02,    9.97368e-02,    1.40391e+02,    3.52284e-02,    3.85405e+01,    3.26086e-04,    3.99400e+01,    4.66144e-04,    5.36893e+00,    8.70089e-03,    4.93119e+00,    1.98764e-03,              3,       Disabled
  08/06/2019 15:57:44.579,    1.42280e+00,    6.13229e-04,    2.02040e+04,    3.03821e+01,    4.33465e+02,    1.40488e+00,    1.45214e+00,    6.70903e-04,    4.42404e+02,    1.44757e+00,    1.40318e+02,    1.88583e-02,    3.85427e+01,    1.90618e-03,    3.99481e+01,    5.13405e-03,    5.37024e+00,    7.33218e-03,    4.93996e+00,    3.14952e-03,              3,       Disabled
  08/06/2019 15:57:46.377,    1.42467e+00,    5.59327e-04,    2.01627e+04,    2.19184e+02,    4.29559e+02,    9.90846e-01,    1.45399e+00,    8.96085e-04,    4.38398e+02,    1.10930e+00,    1.40367e+02,    6.69033e-02,    3.85447e+01,    1.42530e-04,    3.99477e+01,    2.03710e-04,    5.37147e+00,    7.62784e-03,    4.93889e+00,    5.73835e-03,              3,       Disabled
  08/06/2019 15:57:48.178,    1.42233e+00,    4.95749e-03,    2.01756e+04,    6.41711e+01,    4.30641e+02,    4.64880e+00,    1.45162e+00,    4.96450e-03,    4.39509e+02,    4.77331e+00,    1.40373e+02,    5.07411e-02,    3.85449e+01,    3.62596e-04,    3.99498e+01,    1.39337e-03,    5.37172e+00,    2.69283e-03,    4.93570e+00,    1.45079e-02,              3,       Disabled
